path,width,height,format,mips,bytes,top_mip_bytes,canvas_fraction,map_sized
terrain/gen_drylands_lowlands_02_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_drylands_lowlands_03_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_drylands_lowlands_03_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_drylands_lowlands_03_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_drylands_lowlands_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_drylands_lowlands_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_drylands_lowlands_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_drylands_mountain_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_drylands_mountain_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_drylands_mountain_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_drylands_mountain_transition.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_drylands_mountain_transition_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_drylands_mountain_transition_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_drylands_mountain_transition_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_mediterranean_base_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_mediterranean_base_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_mediterranean_base_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_mediterranean_hills_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_mediterranean_hills_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_mediterranean_hills_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_mediterranean_lowlands_02_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_mediterranean_lowlands_02_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_mediterranean_lowlands_02_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_mediterranean_lowlands_03_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_mediterranean_lowlands_03_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_mediterranean_lowlands_03_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_mediterranean_lowlands_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_mediterranean_lowlands_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_mediterranean_lowlands_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_mediterranean_mountain_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_mediterranean_mountain_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_mediterranean_mountain_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_mediterranean_mountain_transition_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_mediterranean_mountain_transition_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_mediterranean_mountain_transition_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_northern_base_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_northern_base_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_northern_base_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_northern_hills_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_northern_hills_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_northern_hills_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_northern_lowlands_02_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_northern_lowlands_02_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_northern_lowlands_02_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_northern_lowlands_03_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_northern_lowlands_03_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_northern_lowlands_03_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_northern_lowlands_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_northern_lowlands_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_northern_lowlands_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_northern_mountain_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_northern_mountain_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_northern_mountain_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_northern_mountain_transition_diffuse.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_northern_mountain_transition_normal.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
terrain/gen_northern_mountain_transition_properties.dds,1024,1024,DXT5,11,1398256,1048576,0.1111,no
